,text,target
1914,ya gotta follow me so i can dm you or send me an email at simon com,4
1915,brb have calls to make cyu s in a bit,4
1916,be safe,0
1917,apple please make itunes music available in russia we are many and want to buy legal music too russians retweet,4
1918,oh no my camera is out of juice,0
1919,com mtoooo friooooo,0
1920,the new songs by the hot action cops seriously rock,4
1921,hello again,4
1922,more papers to go and already i am sick of studying,0
1923,not stressed about missing the mtv movie awards since mtv will repeat it atleast x this week lol gnite tweeties,4
1924,slowly freaking out because my favorite dress is blue and there is no blue in it,0
1925,l a day with mommy who s leaving for portland tomorrow,0
1926,i got infected by you on my own also glad to see you on twitter more,4
1927,sorry i missed you last night,0
1928,art i would second leah s suggestion,4
1929,feeling a little better ear still plugged up though working till today and ashley s working too yay,4
1930,i wish i could repeat last night with,4
1931,i wasn t when you tweeted at me but yeah i am now sigh,4
1932,good luck at your ent s tomorrow i ll be thinking of you keep us posted sorry you re not feeling well,0
1933,hi michael thanks for following you don t even have to try persuade me i simply love beijing,4
1934,you re so fucking cute,0
1935,lol can not reply to any direct messages it will have to be an open dialogue u me and the twitter world or follow me,4
1936,lock stock and three surgeries temporarily impaired mobility sucks g luck with it i m good majorly enjoying this monday,4
1937,i hope you had a good weekend my bad about not hollering i didnt really do much kinda mourning my friends death,0
1938,tnx to you guys hugs,4
1939,its my birthday and i still can t walk after my operation i m in a bit of pain next birthday will have to be amazing,0
1940,we pushing for a feb release for the debut i doubt it tho but still that good news lol,0
1941,i m still laughing it is so your turn even though i know the answer but it will be funny to laugh again lol,0
1942,lol i did good i worked for about minutes today that s all,4
1943,oh phone to police now i dunno if they can help or do anything but i thought best to let them know how stupid i am lol,0
1944,keep me posted,0
1945,good luck insert the appropriate mandarin saying here,4
1946,lol i m a real zoo keeper with real animals,4
1947,i just had to say goodbye to all my travel friends like the guy i sit next to every flight and my favorite flight attendant so sad,0
1948,no water no coffee,0
1949,we just got back from queen creek i was helping our cousins pack because they are moving to florida tomorrow weak,0
1950,at sea rocket bistro for grilled sardine clam mussel steamers and baked oysters most things oversalted but cool space and cheap price,0
1951,batuk ughhhh,0
1952,me too and i m not even chuffing dressed either,4
1953,hope you ll reply to davies and they love you and i do too hahaha,4
1954,x i know did you get my facebook comment,0
1955,im having a few drinks with my one and only im missing my talhia,0
1956,blah mum and dad are down hospitial i m knackered had to do all the jobs again hope shes okay though,0
1957,dude i m hatting to da bone all day i m travajo no me like i rather be blipin yay blip fm manotas sf is aki,0
1958,has just figured out his username and password for his twitter account,4
1959,morning twits had breakfast for first time in over a week dont feel like i even went to bed that sucks very very sore today,0
1960,another loser awww i just lost the game,0
1961,hanging out with friends right now i wish i had a boyfriend,0
1962,i think she just admitted to tree humping i alone to chair humping and whatever xd we re not allowed to be as obvious,0
1963,i m so freaking happy that i get to go home soon i can t wait i m going to hang out with friends and with mike i hope,4
1964,yeah free country and all but wine just seems too classy for that you know meh it s my wine and i ll peel if i want to,4
1965,ugh bleh blah,0
1966,much darker down here we have cloud cover in the east end,0
1967,off to bed see yah,4
1968,going to go kennel the dogs and then go to bed good night,4
1969,about to do my english exam,4
1970,woohoo got my last injection a few mins ago no more needles in the tummy ever again thank gawd heading off shopping now for the day,4
1971,day i feel lik crap i dnnt want go skul,0
1972,thanks to all the haters up in my face all day,4
1973,the walk of love fashion show was a success can t wait to do it again next year,4
1974,hope you re feeling better dude btw the brushes app is absolutely amazing,0
1975,i love you site really love it it looks fantastic cute liddle bird i love the tree very inspiring well done,4
1976,i aint got money,0
1977,ultimalove perfect girl wanna tease you and make you hottt,4
1978,spn maaaybe lol i so am now cmon what re ya waitin for,4
1979,me tooooo,0
1980,man im sooo excited to get out of the freakin oc bubble for even a week gonna make the best of it how it ends here i come,4
1981,yes and it sounds like britney blew there minds she should be proud,4
1982,still at school i just want to go home now,0
1983,thank you it was so wonderful to connect with you as well great fun,4
1984,i ve had nosebleeds so far today,0
1985,my lack of motivation has defeated me,0
1986,umm well i only go to house clubs and i never go to north beach so no idea sorry been out x there a now defunctlesi club,0
1987,ooooo there is a magazine called drum media me likey drums,4
1988,i can t get onto any uclan site this is like torture everyone else can get their results apart from me,0
1989,are they coming,0
1990,i missed this,4
1991,sorry to hear that,0
1992,oh boo im sorry my mom thought i was trying to convert her religion due to a cursive song on one of my mixes for her x,0
1993,hope your now unbirthday is good too kraken sff,4
1994,thatz not even cool lol,0
1995,looking forward to finishing work for the day and heading off to smithfield nocturne first year i m not riding at it though,0
1996,don t worry the exam consist from two parts the birth control part we passed i think,4
1997,going to my uncles to see my favorite cousin,4
1998,having a blast trying to weed through e mails oops disneyjustcuz,4
1999,boo we re moving,0
2000,nope i won t,4
2001,wish i could spend another day enjoying this weather rather than working,0
2002,up getting ready for work dreading it nobody but me i am going to get robber blind hate it and ppl at work who cock it up,0
2003,alive kicking my iphone is back worst thing updating apps reinstalling jailbroken apps and re enter passwords some missing contacts,0
2004,riding to charleston alone seems that phillip had some chain issues,4
2005,cba with afterschool i want a sticker at the dentist though l,0
2006,tired i worked all day stupid stuck teens and there grad partys on the pluse side redoing my room excited,0
2007,i can t wait for wednesday me and have a rull cute lunch date,4
2008,that is the most bad ass trashlight vision shirt i ve ever seen hold him down so i can steal it thanks,4
2009,right making compromises is what kills us,4
2010,omg that sucks,0
2011,ill play with you,4
2012,me luv u long time too u will miss me at velvet tonight,0
2013,how about suse,4
2014,stealing pats side of the bed is alot less fun with no pat,0
2015,of course factor,4
2016,just curious have you been groped in a local you are a gora,4
2017,why does have to replay the metal gear announcement on the it s so painful,0
2018,wrapped up warm took a night stroll along the water so calm out feeling super relaxed,4
2019,hey there sorry i keep missin the parties bt im always so drained on the night of the event girl rehearsin the damita gig,0
2020,the sun is out quick dash thru chores to get outside trying to schedule trip to mom and dad s years ago jessica left for germany,0
2021,damm this twilight dvd won t work,0
2022,all of chanel bags cant heal my feeling it hurts living in someone else s dreams,0
2023,mom says that next month i have to study for real estate,0
2024,congratzz idk what award you won cuz i just woke up but i ll find out later love u u deserved it,4
2025,has a sick dog poor baby,0
2026,i understand i watch ouc after church here dont really get fed,0
2027,chase is going on vacation for a week i m gonna miss him soooo much sadness,0
2028,moriarty at t customers can t until late summer i was so annoyed,0
2029,hehe ive run out of comebacks,0
2030,i miss my long hair,0
2031,broke my fucking chair again i should stop bouncing on it,0
2032,what a coincidence im drunk too lol,4
2033,i whacked my head pretty dammed hard the other day left a big ass scar,0
2034,do u watch desperate housewives too such a good show,4
2035,i doubt it i just need some good sleep i think possibly a couple of whiskey s have a good weekend,4
2036,my neck shoulders are killing me very stressful couple of weeks i so want a new job but it looks like that won t be happening soon,0
2037,pool todayy don t get,4
2038,i had a great weekend,4
2039,what happened,0
2040,can hear the birds chirping,4
2041,i missed princess protection program fml,0
2042,peppers because i m terrible at relationships,0
2043,early morning watching the e the true hollywood story of the osbournes,4
2044,i m fuckin starvin ugh come cook for me,0
2045,aww boohoo i love your show,0
2046,flylady minutes of newo strength training could have done some more but dd was too heavy to crunch with,4
2047,haha,4
2048,omg you came out of the hotel we thought it was too far away but it was soo close well we ll see you in days anyway x,0
2049,i have too many lips and i m chewing on them all,0
2050,they want to play mikel instead,0
2051,there goes my daily dose of coke,0
2052,yes arleen it did crash on the atlantic an so far they did not find anything searches are happening day and night,0
2053,happy birthdayy have a great one,4
2054,ooooh as long as it doesn t kill u lol jeez p but beddybaws time for me,0
2055,brat cutie the dog shucks i miss mine,0
2056,i have some more recent ufo s but i ve already determined that i will finish the old ones too,4
2057,freaking out because i can t find my stylist s number lord knows i need it,0
2058,phones not working md panicking i was just complaining to our it bloke on the phone about the md md hiding behind my cupboard,0
2059,oh yeah he does i loe how he plays the dumb one too,4
2060,mad a quick run to the beer store and grabbed me some cold ones,4
2061,welcome,4
2062,received thanks sug,4
2063,i hate being awake early my day feels so boring when i m not hyper,0
2064,welcome here,4
2065,hmmmm bored any wanna talk on msn,0
2066,got a headache while britt an mummy listenin their danced music xxx,0
2067,why do women wear revealing out fits then look at you to say what wtf cover up then and i wornt fcuking look at your tits,0
2068,one of my all time favourite video s always makes me smile,4
2069,yra they shut the coupons down,0
2070,damn i love that tv spot so much hard to believe that i made it,4
2071,i hope dustin is going to be good he usually is but he looks a bit grumpy tonight,0
2072,thank you i just knew there was someone else out there,4
2073,twitter hates me what i do,0
2074,i couldn t find the motivation for a jog so i m going for a bike ride instead you know cross training,4
2075,but i do get to bunk work on medical grounds but a fat lot thats gonna do me i can only lie on bed and stare at the ceiling,0
2076,i woke up with a flu who among you fans gave me a kiss of flu,0
2077,on a van full of youth bound for luau,4
2078,at least you don t have to lock yourself in your room to get away from stupid people,4
2079,she also had hot pink hair wonder if the rug matched the drapes,4
2080,loving love story by taylor swift im practically swooning,4
2081,cool you re have an awesome time,4
2082,i miss my friends even the ones who abandoned me for the beach,4
2083,good morning to you only slightly still in bed listening to the weekend dvdaily before i go to church hahahahaaa church,4
2084,would love to go to l a film school in they sent me the most awesome brochure but i need a scholarship to be able to afford it,0
2085,if you like laugh have a good time follow me its just that simple,4
2086,awww clare i get you gal i ve been in your shoes and it sucks but hey don t let it get the better of you k,4
2087,haha yeah it was a greeattttt day and hell yes i do you cannot beat a bit of prince charming sometimes,4
2088,r x y is the best imo all the work ethics with none of the dramaz,4
2089,easiest one is capturing a conference search for ims scroll about pages forward and start gathering quotes,4
2090,i hope today breaks attendance records how are your feet holding up,4
2091,gotta a show on monday at hopefully my head will be better by then,0
2092,try for your twitter photos,4
2093,heyy tiffany wow have fun in the studio i miss you tiff and can t wait to see you soon mrs cjbaran,4
2094,lol thanks anyway,4
2095,ken what a pity i had a walmart around the corner but every walmart in germany closed down,0
2096,nana says we ve been doing a lot of eating during their visit welcome to richmond city of a thousand great places to stuff your face,4
2097,a vaccine for meningitis we sure are a vaccine happy country,0
2098,annee what arnt i good enough no i didnt get invited ohh well,0
2099,aww fail you were in the top you could be a prizewinner make sure you get one in next week,4
2100,keeps forgetting i m on twitter wow we have a lot to catch up on guys,4
2101,luving the free advice on twitter from revrun very inspirational wrds,4
2102,my laptop refused to start up so i took it to the apple store apparently my hard drive just decided to stop working,0
2103,it s been like minutes since there were minutes left,0
2104,i know it is how i feel though me no like,0
2105,hubby has been ill today not a lot of time online,0
2106,just got outta the shower i m off to bed wish me luck for my transfer,4
2107,this soup is not the chickpea curry i ve been dreaming of for hours forgot the chickpeas waaaaaaah,0
2108,dude i couldn t find a pic of you,0
2109,i don t know that i have anything to write about,0
2110,isn t to happy about working hrs wish i just had a regular to job i wish i could see heather more i lover her so much,0
2111,i am heading to the gym lol,0
2112,spoiler alert i didn t get to watch it yet andy but i guess congratulations are in order ps coverage in the us sux boo,0
2113,have a good show,4
2114,thanks shaun boat time when i get back lol,4
2115,stupid sky it missed out the last minutes of ppp youtube maybe haha,0
2116,where are you at in the sara and solomon,4
2117,elefant shut up i need a mani desperately i ve had same polish on for months it s chipping bad gno music good,0
2118,i got it but his song video with akon is horrible lol sorry,0
2119,lol that may take awhile this tiff btw i miss you chicks lol,4
2120,even the streets are quiet without the seniors this is sad weird,0
2121,love the sweet g nights every night,4
2122,no credit only cash bawarchi,0
2123,we install anti virus programs so that our computers will run better free of viruses although av programs themselves slow your pc down,0
2124,not okay with the pissy vibes around here today dnw or need negative energy,0
2125,gonna miss aids walk again boo,0
2126,i love too sing too well i know that whatever you re gonna be i know you re gonna be great at it,4
2127,somehow i found my way to heath ledger tribute videos on youtube how did i get here and why am i so distraught,0
2128,i would but i don t live in la send it to ny lol,0
2129,tomorrow morning i ll travel to see my dogs that i miss a lot,0
2130,you ll find someone don t worry it will hapen when it s supposed to you can t rush it or you ll make a big mistake,0
2131,working on homework,0
2132,no free minutes yet,0
2133,no sleep again,0
2134,gahhh can t wait to see him later,4
2135,awww sorry to hear that,0
2136,since u both asked she ok not really eating tho u know she love food,0
2137,an year old called in and requested birthday sex on hahahaha he probably gets more vag than i do over ruled,0
2138,well to any who saw her default and my pic on twitpic it was the obvious but dont worry no figured it out lol,4
2139,isn t it great to open up the outside on a beautiful day,4
2140,the season premiere oh and there is a cookbook coming out soon too so it s not over yet,0
2141,hey twitterland,4
2142,faaaaavorite grant not you lol was so happy to see him tonight even if he did torment me with guitar picks bye cma fest,0
2143,i am alive i seriously thought leslie sansone was going to kill me with her tummy trimming walk whew i did it,4
2144,at a terrace party athens wonderful acropolis view,4
2145,ouch snark much,4
2146,i miss you asshole come contaminate my life with german ness,4
2147,so apparently my lucky number is nine cool hehe,4
2148,awh i wish i could have been there,0
2149,motherfucker i just got a paper cut on my index finger right on the middle joint,0
2150,i have to go to the supermarket i hate it,0
2151,can t get the streams loaded at work,0
2152,eating chinese takeout for dinner,4
2153,i was too excited for my bday i slept hours last night haha,0
2154,time to write another chapter then,4
2155,expediter was the only available position have you taken the exams,0
2156,omg ben your gonna have to actually text me for that,4
2157,so change position,4
2158,clear some neurons for me,4
2159,how cool is that husband u game hon bats eyelids lashes,4
2160,yahoo to shut down entry from yahoo team blog it true over the past two years there,0
2161,btw to all my twiples you are beautiful appreciated do not forget that there are plenty who love care goodnight,4
2162,how many is that ray has won now,4
2163,you have to follow me for direct messages to work apparently,0
2164,i needed an a i know that s not happening i ll be lucky if i get a d urghhhhhh xxx,0
2165,paul scanlon sharing from god s word this morning he s sounding a bit hoarse perhaps a touch of cold it won t hold our pastor back,4
2166,ug it isn t a drain leak and it has been leaking for a while,0
2167,don t know maybe moulin rouge,0
2168,i still think sketch is the most useless character in skins history and wth why am i still awake,0
2169,congrats on scout graduating another milestone in motherhood,4
2170,i m mentally helping you out,4
2171,you are one of my fave actors ever was only watching a bug s life with my sis yesterday and thinkin of how much you rock,4
2172,yes you are just dont steal the groom lol xx,4
2173,wingstop now n later frozen yogurt a movie turned into a nap and a long talk my last thursday w babe for awhile,0
2174,so there s still hope just don t lose faith alright everything will turn out for the best,4
2175,omg i can t even swallow this morning,0
2176,despite saying i was over wanting one we got a wii at the weekend finally mrs pres joins me in games only have mario kart,4
2177,lmao now i feel like having soup,4
2178,the mtv music awards are live now in the u s and i wanna watch it i cant wait till tomorow as its taped live cus it will be edited,0
2179,i sad that she can t see sophie e b moz,0
2180,so sad the h i l l s isn t on tonight i guess i will study for math then,0
2181,yes please that would be really helpful i was considering asking people for how they do things cheers,4
2182,in singapore here is good night to u,4
2183,surviving one day of race week at am and then vegas so excited but i wish marcotte were joining the party train,0
2184,on my way to kroger then to the pool waiting on a tea at mcdon,4
2185,yo where da fuck u at ur ghost right now u havent tweeted in hrs ps i didnt get the pic not happy bout dat missy,0
2186,woefully unprepared for dbuc quelle surprise,4
2187,going to bed now rowing in the morning not overly excited and sose exam,0
2188,photo duhtrav you should follow one of the other travis,4
2189,in a zipcar heading home from jersey of course i got lost,0
2190,dammmn travel man i m in the dmv birthday is tomorrow that s y i asked miami tho who you going with watts,0
2191,just jews majority was jews anyway xoxo,4
2192,we wussed out the on again off again rain was a turn off kicking myself right now,0
2193,i will bring you cases of mountain dew if you give slamma tixs to see taylor swift,4
2194,is going home,0
2195,i was not and i am not there tmrw,0
2196,i m a pillow short,0
2197,sleeping pattern is all messed up it s am and i m still awake it s been like this the whole week tgif,4
2198,im trying to figure out how this twitter thing works,0
2199,cont d and then puke pretty kolors what a day it would be,4
2200,i actually like using twitter as a venting resource i hope you all dont mind my wild postings summer in miami wont be the same,4
2201,life is too good right now,4
2202,i hate how i cant communicate with the man doing my nails rite now he can talk me yet cant understand what im telling him,0
2203,boooooo riiiiing i hear a fog horn booo riiiing everyone s twitter is boring you ve arrived,4
2204,what channel s that on we ve got the tennis on tis a good match,4
2205,more pissed having to find a walmart to buy a change of clothes and personal hygiene,4
2206,mornin everyone the city had a power outage earlier and my place of resident was hit and it s so hot this mornin and ion have no a c,0
2207,claudine i smell more fairies in the air shame your brother didn t let me have a nip before he left,0
2208,wishing everyone a happy father s day miss you dad,0
2209,it was very upsetting and now i m going to be late for yours because he s a git,0
2210,you should just kill them all,4
2211,bradshaw which one jupiter or viral,4
2212,everyone will be in black be your own person wear orange,4
2213,blood sweat and tears an office without air conditioner,0
2214,hey clicks so far today now but no sales however this is click more then yesterday so it is up,0
2215,what a guy what a hubby terrible liar,4
2216,can t sleep this damn bladder infection urinary track infection has been keeping me up i m sooo sleppy,0
2217,no my grandma s in town,4
2218,just dropped off richard sea tac airport i m home now the house feels eerily lonely w o him even though my sister parents r home,0
2219,just found out brownie chewed up my new flip flops i thought this chewing phase was past,0
2220,my websites just got hacked is it some kind of fight back for my years effort against those s bags,0
2221,i heard about tr yeah verrah sad,0
2222,going to s to watch yes man with him bront they haven t seen it yet,4
2223,last day was so great but now i m so tired,4
2224,good morning everybody motivated for new adventures,4
2225,you got that right i will not lay on my deathbed going wish i d done that feeling good is the sign to go for it,0
2226,totally wish i was there watching too,0
2227,fairly rested showered it s a beautiful day hopefully work will go by fast gets to make the trip up tonight,4
2228,i wonder if this will work,4
2229,you should move here brother i m almost always in a good mood,4
2230,omg i could never stand at an alter and hug someone for the last time in front of people my god that s just awful,0
2231,probably take me a year to read it,4
2232,totally love those types of books that get the brain juices flowing,4
2233,u wanna tell me about it bats eye lashes im a very good listener,0
2234,game night just finished playing connect oh the things they do to entertain me sigh,4
2235,that song makes me so happy i could just burst,4
2236,really want a paddling pool,0
2237,naww thats not nice x,0
2238,your tipsy cosignage means the world to me girl it does i m over here drinking like a coal miner or some other blue collar,4
2239,listen to music again jonas brothers new fly with me,4
2240,peter cottontail hopping down the bunny trail hippity hoppity easters on its waaay red forman bahaha i love that s show,4
2241,is stuck with a brick now her phone is broken,0
2242,chillin with the homies,4
2243,feels unwell and is going home early,0
2244,male time right it s at pm in wembeley,4
2245,still writing i think i m going well,4
2246,so much homework to do this sucks,0
2247,i m very easily amused,4
2248,watching nicholas cage i think i may just have a movie day still feeling a little under the weather,0
2249,it s going great how s yours,4
2250,never heard of it,0
2251,just got to assos didn t completely lose my mind on the trip over wanted to hit the water but there are too many waves,0
2252,time for me to go to sleep my sleep schedule is all messed up so i m going to be tired all day tomorrow,0
2253,i m hungry now,0
2254,hour ride today tired didn t push very hard legs are sore project,0
2255,i am listening to free fallin,4
2256,dinner today not so good lol,0
2257,i totally effed my midterm,0
2258,eh back on the pc,4
2259,drinking and bitch session with my bff adam tonight,4
2260,there is a guy in the student center walking around playing music from his cell phone its like his own personal theme music love it,4
2261,girl i know i woke up at because i have to work i know how you feel,4
2262,yippie thanks for my steve fix,4
2263,watching boondock saints,4
2264,pic up today,4
2265,not looking forward to work tomorrow,0
2266,laminating the church s sunday school materials and listening to skip counting songs with hunter,4
2267,weather sucks and work is slow and boring today i hope things look up for the weekend,0
2268,oooh what did you see,4
2269,not a good start today over slept been sick uniform still wet missed my bus i m super tired hope today goes quickly and nicely,0
2270,still up,0
2271,installing windows rc under vmware fusion for cbt training purposes,0
2272,lovato ikr best night eva but i am leaving tomorrow and you mean like miley cyrus and then my say now phone number,0
2273,i think we broke lj it keeps saying this part of the database is temporarily down for maintenance try again in a few minutes,0
2274,dick from your worthless ass anyway all ur good for is dick and bubble gum darling,4
2275,got stood up,0
2276,it s a wb movie i ve seen the score,4
2277,sadly not we were good boys and sat indoors even though all we wanted was sunshine and lolly pops,0
2278,camera bizarrely i can t dm you back no admin job is not for me i m a baby faced senior lecturer i ll have you know,4
2279,awwwww gorgeous cat man dk at lvl and found a wicked new guild last night warcraft drags me back yet again lol,4
2280,hmmm dinner was devo not good but mums bought me mio mousse,4
2281,oh no i m so so sad i waking up with the worst news my y old dog died this morning,0
2282,seriously now thats cute haha,4
2283,can smell summer,4
2284,going to bed have work in the am hopefully will be able to confirm trip tomorrow,4
2285,my head doesn t hurt anymore but my neck is super tight and hurts when i turn my head,0
2286,u got left handed clubs cool there ya go,4
2287,cant wait for citrix iforum season,4
2288,this song is never going to stop,0
2289,happy mommy s day to all the moms,4
2290,business spesh the health and safety bit doing merits in it lol,0
2291,currently still working on what seems like a million papers i have to write,0
2292,wants to have a bonfire tonight but it doesn t look to hopeful,0
2293,hell yes,4
2294,will be interesting to see how many people squirm in their seats when i propose a facebook account soon,4
2295,sorry i just saw that the other day on ontd st i was going show u but i assumed u saw it already cos i am always late,0
2296,aaaaaaand the child just greeted me with a diaper full of diarrhea oh dear god please don t let her be sick not today,0
2297,pens are down one more period to go,0
2298,lol no just kidding but i want a tweet from ashley,0
2299,i got so many cute clothes today i love shopping,4
2300,cheers didn t want to stop following you,4
2301,i want to see tori amos when she comes to town dunno if i ll be in town though,0
2302,i know bewski i know,4
2303,really never knew that he bought loads from my uncles shop at christmas i never got to meet him though,0
2304,that s so sad i send my love to you guys and the best wishes,0
2305,that kinda hurt,0
2306,luongo is really good but he has great backup w the defensemen if i were the coach i would take out the dmen,4
2307,got my silver frequent flyer card,4
2308,possibly they did say they would be bundling it with xboxs so you maybe right id still buy one love the idea,4
2309,yes sir cept now its tomorrow at i dont wanna go kay sounds like a plan are we going to the hawiian themed dance party,0
2310,another gorgeous day dry here need the four rain days coming up ct wildfire,0
2311,has a killer headache,0
2312,its raining so much waiting for dad to pik me up,0
2313,exhausted i really dont feel well i think i might pass out again,0
2314,yeah tried that approach checked some trees hunted down leprechauns didn t work so i had to cough up the cash,0
2315,im mad that my brother is not here so i can tell him about how good transformers was and that avatar the last airbender is coming out,0
2316,flexible layout is more of fancy stuff it is like saying look i know css dhtml and blah fixed layout is the way to go,4
2317,patrick got me a double sidded blowpop pers and im lovin it ba da da da da,4
2318,i never understand that time of year thing cold is cold does it matter if the calendar says june,4
2319,going to zzz s early have an important day tomorrow sweet dreams my twitterers xoxo,4
2320,aah well have a few friends over there just wondering if all s great and weather s been good,4
2321,beautiful sales weather today not gonna lie probably no cold calling on my agenda today,0
2322,pounds down was an amazing movie that took me on an emotional rollercoaster now thats a movie,4
2323,amaazing girl love it,4
2324,not much on the car photography this week been slooow,0
2325,unter den linden berlin germany haikus posted a photo for germany without bavaria,4
2326,my thumb hurts after breaking the nail,0
2327,i do love tsn s intros not as much as cbc s but they ll do and yay my th tweet,4
2328,got new shoes but they kind of hurt my feet right now fb,0
2329,catching up on my gh i ve missed out on for the past year,4
2330,days kinda excited though i no longer have anything planned,0
2331,g day mate,4
2332,i want the sims,0
2333,i have to have all of mine taken out too,0
2334,enjoying the foot gummy snake i bought the other day,4
2335,has started his holidays at last st day spent shopping gotta get my mp fixed though s,0
2336,and finally there s an iphone app that is under review with apple it s the ultimate phonebook in my not so humble opinion,4
2337,finished laundery and now i can focus on getting ready for the week work school and most important hair,4
2338,yay i ll see u there i cried during if u go away,0
2339,im not going to school today im so sick school is almost done weeks birthday is on saturday,0
2340,seriously hotness all around,4
2341,kinda tired one month till the end idf count me out,4
2342,another crazy night felix foto,4
2343,parental units of both sarah and rusty had planned to come by today and i didn t know until after planning w you guys,0
2344,resistance is futile,4
2345,we in singapore are awake its pm here now,4
2346,srry about yesterday my internet went out and i couldn t use twitter t t,0
2347,i just sent ya a pm i really miss ya and poor guachi poor thing kiss him a lot for me because he s too pretty and needs to,0
2348,i know i know you were a gangsta year old doing hoodrat stuff am then napping am i got it,4
2349,,4
2350,wilson so how do we get rid of that error sounds like there s currently no option to add tethering to everything data plans,0
2351,i know i am,4
2352,honestly i m happy to do it she deserves it it was a smaller project in my head though thanks,4
2353,sweeeeeet so tired man you busy tomorrow night,4
2354,instead of making jewelry ive been blogging this feels good im suddenly on a new track,4
2355,the new website goes live tonight at midnight pst be sure to check out all the new features it s been months on the making,4
2356,norton lets make babies xxx,4
2357,photo lifesagamble i want,0
2358,teste gtalk plurk twitter o que sai no gtalk sai no plurk e vai pro twitter,4
2359,goodbye sweet sweet summer,0
2360,i feel awful i m starving but everytime i eat i throw up i feel fine until something s in my stomach,0
2361,i am down for that,4
2362,pink cupcakes heal all wounds,4
2363,just listening to jonas brothers turn right gonna cry,0
2364,sounds a tad like an fml to me,0
2365,since i am tech challenged sometimes this tweet is just a test sorry for the let down in ack of info,0
2366,in park slope brooklyn working the bust photoshoot this is so exciting no more fever but my tonsils are the size of golfballs,0
2367,gettin ready for volleyball bleh im so sore and tired,0
2368,quizas esto no lo deberia twittear but i miss her so much,0
2369,loves new song paranoid,4
2370,glad to hear shez ok yap will update abt it,4
2371,was on tv,0
2372,hey sexy s miss ya ll as for me i m getting ready to be a loser on a friday nite and take a long hot bubble bath and read a book fun,0
2373,i wished you would do a bit about emetaphobia fear of vomit as i have had it for years and it affects my life phobias,0
2374,not really wanting to go to the funeral,0
2375,crying at frickfrick s with lauren because all of the sad music it s terrible good thing we ll do big things tonight,0
2376,dont hate me cause you aint me cassiie baby,4
2377,have to wait minutes to an hour until i get a table here at the cheascake factory,0
2378,gee i guess u cant see me either,0
2379,hook me up how at cannes sex slavery cute italian boy or distribution,4
2380,off to sports i really don t have time but my parents will go mad if i don t go that ll be learning till late tonight,0
2381,not much different really shorter with the side fringe put back in and slightly longer at the sides but only a little,4
2382,still not i need some heavy fuel or a day sleep,0
2383,i thankyou and at any point i hope i don t reverse the canny thing and come across as a right twat,4
2384,yes seriously only,4
2385,these darn gillette shavers so expensive yet the blades become blunt after just a few uses argh so useless i loss a bit of blood,0
2386,andrews well this little kitty assistant might help you out battles demon possessed printers,4
2387,babysittin duty done for the week all in aid of my post lc time fund,4
2388,sprinting shudder but hrrrmm all those goodies mean i like should get out and do something sometime not soon,4
2389,ugh i haven t been yet waiting for dad to get home i m so dreading it ahhhh,0
2390,log aww yep will be going to see it and will cry i know the loveless is a busy girl puts u off being famous i ll stick to teaching x,0
2391,of lol ur pix look like mine blurry she didnt stand still good show didnt meet u tho,0
2392,buy magazine solely cos of free lipstick in shade that suits everyone just tested lipstick yeeugh guess i m not everyone,0
2393,awww again stupid xbox live,0
2394,trying not to tweet about my current state but wah wah why me aaah ouchie mooommy alright that s the last you ll hear of it,0
2395,oh i almost forgot we re stopping by the local comic book store,4
2396,watching rear window great movie,4
2397,when vince is finished dealing with central market could i borrow him to deal with my apartment complex,4
2398,im sooo full just had the best dinner for a long time,4
2399,before i go doest this reminds any of you of something,4
2400,thank you and i m so pumped i did it in minutes about minutes faster than yesterday,4
2401,in a grand total of hours and minutes i ll be free for the year wooooohhooooo damn have to sit exam first,0
2402,you ll be fine,4
2403,shower eat read then sleep to wake up early for morning food hunt with the girls and drumline then after watching again,4
2404,well we have to unpack more today and eat those donuts from yesterday,4
2405,is still waiting for his book to arrive will work on my tao of patience,0
2406,i really hope that you can come someday to monterrey mexico it would be the best day of my whole life,0
2407,mahtweets wpf twitter client for windows i d really appreciate any all feedback,4
2408,bed tifa meeting at am,0
2409,ommg gurll why aren t u going how sad,0
2410,it s sooo nice i ve been to town birthday present shopping but i don t think i can risk too much more sun exposure,0
2411,noo what s wrong doll,0
2412,it s really cloudy here all the girls in bikinis in the park have given up and gone indoors,0
2413,dammit it s okay pigs i still love you,0
2414,wish me luck,4
2415,what does that mean arr maaaan gonnaaa miss it lol love youuu guys,0
2416,how come everyone s deleting their twitter with aimes,0
2417,new userpic hooray this should be helpful to those of you meeting me for the first time next week,4
2418,beddd something you should be doing work at am then vfactory,4
2419,lol no i don t have my tablet pen,0
2420,haha i remember that oops,4
2421,if you are my other half meet me in groningen please,4
2422,i am wishing that i can go home and chill,4
2423,stuck in my head grrr you keep me hanging on and we re not moving on we re standing still jenny,0
2424,new one for me got dumped on prom haha yay,0
2425,one thing after another our car keeps failing us,0
2426,permanently banned from donating blood bc of bovine materials in my spine boo hoo moo moo,0
2427,lucky you with public holiday i m in wa and at work and i m a public servant something be wrong seriously,0
2428,thanks for following,4
2429,getting ready to go chill in the sun,4
2430,good noon everybody i m feeling pretty sick today not so dy no mite,0
2431,haha i love that you re texting in church becac,4
2432,thank you,4
2433,hells yeah will ferrell sings never can say goodbye on conan,4
